;Abies;Alnus;Artemisia;Betula;Carpinus;Chenopodiaceae/Amaranthaceae;Corylus;Fagus;Fraxinus;Poaceae;Juniperus;Picea;Pinus;Quercus;Salix;Tilia;Ulmus
Kunes_a95;0,003282275;0,000524935;0,034185083;0,064059686;0;0,003918896;0;0;0;0,010983423;0;0,001269573;0,032250508;0;0,000202867;0;0
Kunes_a96;0,020989505;0;0,058684335;0,104019746;0;0,001868286;0;0;0;0,010036242;0;0;0,01551964;0;0,000834183;0;0
Kunes_a97;0,001111111;0;0,0238795;0,047068538;0;0,003299725;0;0;0;0,012089241;0;0,001556634;0,043441515;0;0,000292954;0;0
Kunes_a98;0,001013171;0,000481464;0,028733818;0,060136246;0;0,002640982;0;0;0;0,028063351;0;0,000770594;0,021753039;0;0,0001231;0;0
Kunes_a99;0,002109705;0,00201005;0,037598944;0,087874325;0;0,013965573;0;0;0;0,008134805;0;0,000966962;0,020814749;0;0,000514933;0;0
Kunes_a100;0,013513514;0,001002004;0,06056701;0,066001899;0;0,002177971;0;0;0;0,009208103;0;0,000611808;0,020022561;0;0,000121951;0;0
Kunes_a101;0,005524862;0,000452489;0,032993401;0,18102288;0;0,000894721;0;0;0;0,002767363;0,000162259;0;0,00795938;0;0,000416122;0;0
Kunes_a102;0,001040583;0,000493827;0,076400129;0,128581748;0;0,000477631;0;0;0;0,00284711;0;7,89578E-05;0,010998616;0;0,000252254;0;0
Kunes_a103;0,00776699;0,036644166;0,014753047;0,033157136;0;0,00064;0;0;0;0,000767312;0;0,001118747;0,054285293;0;0;0;0
Kunes_a104;0,006342495;0;0,026899798;0,062688064;0;0,000332447;0;0;0;0,004765687;0;0,000330578;0,04209242;0;0,000264166;0;0
Kunes_a105;0,006147541;0,00092507;0,124850657;0,023378915;0;0,000579206;0;0;0;0,031759657;0;0,000142633;0,004339821;0;0,000113766;0;0
Kunes_a106;0,003039513;0,000714796;0,019158878;0,061089899;0;0,0006876;0;0;0;0,001501297;0;0;0,043874346;0;0,000453227;0;0
Kunes_a107;0,002457003;0,004830918;0,024819856;0,043113773;0;0,000398089;0;0;0;0,004051478;0;0,000396983;0,050192343;0;0,000793525;0;0
Kunes_a108;0,003931848;0,000650195;0,048854302;0,056670985;0;0,000862441;0;0;0;0,00491083;0;0,000107666;0,0423333;0;0,000172221;0;0
