"","Longitude","Latitude","SampleName"
"746",32.009,40.779,"Barboni_a637"
"747",31.62,40.849,"Barboni_a638"
"748",31.1,40.779,"Barboni_a639"
"749",30.44,40.869,"Barboni_a640"
"750",30.569,41.029,"Barboni_a641"
"751",2.66,45.38,"Barboni_a642"
"752",31.25,40.58,"Barboni_a643"
"753",31.299,40.61,"Barboni_a644"
"754",31.309,40.61,"Barboni_a645"
"755",24.12,35.6,"Barboni_a646"
"756",-5.35,32.9,"Barboni_a647"
"757",-7.43,43.4,"Barboni_a648"
"758",-7.62,43.55,"Barboni_a649"
"759",-7.45,43.42,"Barboni_a650"
"760",-7.527639,43.372639,"Barboni_a651"
"761",-7.55,43.53,"Barboni_a652"
"762",2.66,45.38,"Barboni_a653"
"763",-7.55,43.53,"Barboni_a654"
"764",0.18167,40.1653,"Barboni_a655"
"765",-6.2,42.67,"Barboni_a656"
"766",35.8275,39.03333333,"Barboni_a657"
"767",-6.666666667,37.21666667,"Barboni_a658"
"768",-7.57,43.42,"Barboni_a659"
"769",-0.109444,41.380972,"Barboni_a660"
"770",-0.116528,41.381111,"Barboni_a661"
"771",14.21666667,45.65,"Barboni_a662"
"772",13.7833,45.1833,"Barboni_a663"
"773",2.66,45.38,"Barboni_a664"
"774",15.8833,46.25,"Barboni_a665"
"775",14.4333,45.75,"Barboni_a666"
"776",14.8666,45.45,"Barboni_a667"
"777",14.6833,45.5166,"Barboni_a668"
"778",14.5833,45.8666,"Barboni_a669"
"779",14.2,45.65,"Barboni_a670"
"780",2.66,45.38,"Barboni_a671"
"781",2.66,45.38,"Barboni_a672"
"782",2.66,45.38,"Barboni_a673"
"783",24.3333,41.983,"Barboni_a674"
"784",2.733333,45.5,"Barboni_a675"
"785",2.733333,45.5,"Barboni_a676"
"786",2.733333,45.5,"Barboni_a677"
"787",2.733333,45.5,"Barboni_a678"
"788",2.733333,45.5,"Barboni_a679"
"789",2.73,45.5,"Barboni_a680"
"790",2.73,45.5,"Barboni_a681"
"791",2.73,45.5,"Barboni_a682"
"792",2.73,45.5,"Barboni_a683"
"793",2.73,45.5,"Barboni_a684"
"794",24.3333,41.983,"Barboni_a685"
"795",2.73,45.5,"Barboni_a686"
"796",2.83,45.5,"Barboni_a687"
"797",2.83,45.5,"Barboni_a688"
"798",2.83,45.5,"Barboni_a689"
"799",2.83,45.5,"Barboni_a690"
"800",2.83,45.5,"Barboni_a691"
"801",2.61,45.45,"Barboni_a692"
"802",2.61,45.43,"Barboni_a693"
"803",2.58,45.4,"Barboni_a694"
"804",2.6,45.38,"Barboni_a695"
"805",24.3167,41.967,"Barboni_a696"
"806",2.58,45.36,"Barboni_a697"
"807",2.68,45.38,"Barboni_a698"
"808",2.66,45.38,"Barboni_a699"
"809",2.66,45.4,"Barboni_a700"
"810",2.66,45.38,"Barboni_a701"
"811",2.66,45.38,"Barboni_a702"
"812",2.7,45.4,"Barboni_a703"
"813",2.7,45.4,"Barboni_a704"
"814",2.7,45.41,"Barboni_a705"
"815",2.7,45.41,"Barboni_a706"
"816",23.6,41.5,"Barboni_a707"
"817",2.7,45.41,"Barboni_a708"
"818",2.66,45.51,"Barboni_a709"
"819",2.65,45.53,"Barboni_a710"
"820",2.73,45.45,"Barboni_a711"
"821",2.76,45.46,"Barboni_a712"
"822",2.789,45.47,"Barboni_a713"
"823",2.733333,45.5,"Barboni_a714"
"824",2.73,45.5,"Barboni_a715"
"825",2.76,45.48,"Barboni_a716"
"826",2.789,45.47,"Barboni_a717"
"827",23.61,41.53,"Barboni_a718"
"828",2.85,45.43,"Barboni_a719"
"829",2.76,45.43,"Barboni_a720"
"830",2.78,45.4,"Barboni_a721"
"831",2.78,45.4,"Barboni_a722"
"832",2.83,45.45,"Barboni_a723"
"833",2.8667,45,"Barboni_a724"
"834",2.83,45.5,"Barboni_a725"
"835",2.83,45.5,"Barboni_a726"
"836",27.11,44.08,"Barboni_a727"
"837",23.61,41.51,"Barboni_a728"
"838",23.61,41.51,"Barboni_a729"
"839",-3.7,40.93,"Barboni_a730"
"840",-3.8,40.96,"Barboni_a731"
