;X;Age;mean;X0.5_inf;mean.1;X0.5_inf.1;mean.2;X0.5_inf.2;mean.3;X0.5_inf.3;mean.4;X0.5_inf.4
180;X27621.4052000188;27621,4052;-4,43;3,586653723;275,2;261,7138129;19,52;4,24762796;-29,64;5,992296697;3456,8;3965,114324
181;X27792.5793288165;27792,57933;-4,762;3,572101841;319,6;248,774141;18,18;4,214333217;-27,52;5,867737924;4170,2;3816,719909
182;X27989.187415585;27989,18742;-4,202;3,605991083;323;248,9890089;18,58;4,248525903;-27,46;5,909969381;4188,4;3821,386283
183;X28135.7111667973;28135,71117;-4,366;3,603418622;363,8;249,4076951;18,94;4,306965383;-27,96;5,918982115;4681,8;3822,558393
184;X28337.511606863;28337,51161;-3,87;3,572246709;343,4;251,722103;19,52;4,302554056;-28,08;6,092316084;4325,2;3877,813475
185;X28533.7324028691;28533,7324;-3,93;3,601293608;346;255,3715581;19,38;4,336209268;-28,18;6,305254183;4365,4;3954,063957
186;X28723.6649947967;28723,66499;-3,93;4,262707391;346;253,2529989;19,38;4,616803975;-28,18;6,782706101;4365,4;3880,778305
187;X28871.2802352806;28871,28024;-0,032;5,35962415;251,4;264,1581154;22,82;5,317216001;-23,58;8,263899946;2989,2;4084,488515
188;X29046.883687191;29046,88369;-4,428;4,693097603;428,4;278,5549848;20,26;4,930936898;-29,82;7,2769551;5855;4408,600828
189;X29176.7812339067;29176,78123;-0,034;5,143967833;279,2;263,1172422;22,08;5,057089121;-20,28;7,450396937;3102,6;4111,063768
190;X29347.2695099657;29347,26951;-0,308;5,539873842;206,8;262,5572842;23,32;5,136006542;-24,48;8,847181293;2396,8;4078,231797
191;X29518.9756653529;29518,97567;9,28;5,08270015;501,2;256,5750802;27,3;4,763671257;-5,56;8,011964749;4111,2;2888,455625
192;X29697.4285071379;29697,42851;9,12;5,123496195;397;239,0224146;27,92;4,747548551;-6,66;7,801731067;2882,2;2665,790378
193;X29828.6790499673;29828,67905;0,528;5,631577759;319,6;259,2810305;22,82;5,145351843;-22,02;8,608502712;3857,6;3970,545276
194;X29999.9284720488;29999,92847;-0,032;4,93753666;251,4;250,2570104;22,82;4,928248183;-23,58;7,409529595;2989,2;3864,784391
195;X30163.7373201998;30163,73732;1,41;5,700404519;299,2;258,4025904;22,14;5,154437108;-18,32;8,295927014;3715;3933,596778
