;X;Age;mean;X0.5_inf;mean.1;X0.5_inf.1;mean.2;X0.5_inf.2;mean.3;X0.5_inf.3;mean.4;X0.5_inf.4
128;X43058.4773140122;43058,47731;7,902;2,574660208;602,6;293,2343102;18,56;4,788304201;-20,28;7,142808454;8839,4;4824,783006
129;X43313.6905977439;43313,6906;3,494;3,067797322;882;293,535448;18,04;4,765222581;-14,82;6,856165061;15105;5134,524011
130;X43517.8612247292;43517,86122;3,974;2,810611438;766,4;274,2015904;19,06;4,916884594;-17,4;7,275074803;11567,4;4503,524349
131;X43773.0745084608;43773,07451;5,322;2,775294451;676;275,1096035;19,64;4,691645274;-12,44;7,345924544;9713,4;4331,678375
132;X44028.2877921924;44028,28779;0,846;4,535110042;802;306,5138753;19,2;4,596947515;-15,58;7,799038368;11079,2;4782,687448
133;X44283.501075924;44283,50108;-4,392;5,170237827;593;317,1410492;18,22;4,828596284;-22,44;7,342358022;9406;5339,873213
134;X44640.7996731483;44640,79967;1,906;3,824572604;530;270,650559;17,88;4,922957247;-26,08;6,710849133;8859,6;4325,684235
135;X44793.9276433873;44793,92764;4,48;4,174568737;546,8;280,9680883;16,96;4,764904014;-20,96;7,47993395;8508,8;4223,240342
136;X45049.1409271189;45049,14093;3,088;3,960459148;363;289,2310392;19,9;4,668909576;-26,28;6,969910782;4530,6;4517,04867
137;X45304.3542108505;45304,35421;5,37;3,403651582;609,2;282,4350603;17,74;4,593378185;-23,16;6,622937913;8186;4273,675605
138;X45559.5674945822;45559,56749;8,244333397;3,516054625;411,8;270,2493236;18,4;4,497688144;-25,8;6,618823072;5329,8;4015,410028
139;X45814.7807783138;45814,78078;-7,108;3,098726974;511,4;275,2538806;19,64;4,522558462;-24,88;6,272635879;6933,6;4261,040352
140;X46069.9940620454;46069,99406;8,014;2,681149096;578,2;301,3290521;19,58;4,737100055;-18,34;7,559736679;8875,6;5039,235798
141;X46325.207345777;46325,20735;6,844;2,789882263;668,4;282,095587;21,38;4,629635237;-17,08;7,098537742;8985,2;4599,665457
142;X46580.4206295087;46580,42063;8,014;2,431547879;847,8;286,0858833;19,72;4,59005292;-13,42;7,229665818;13023;4816,852567
143;X46835.6339132403;46835,63391;8,002;2,678556228;544;263,8220857;21,26;4,51784248;-16,94;7,387328579;6793,6;4107,386033
144;X47090.8471969719;47090,8472;5,884;3,673819783;767,6;303,4954087;19,84;4,52837982;-18,88;7,750657946;10606,4;4766,248164
145;X47346.0604807035;47346,06048;8,014;2,520633973;847,8;292,518842;19,72;4,759482981;-13,42;6,984867844;13023;4917,306136
146;X47601.2737644352;47601,27376;3,976;3,740771171;610,6;234,0145116;20,78;4,365019393;-11,88;7,798495698;8182,2;3709,534438
147;X47856.4870481668;47856,48705;-0,058;2,656604698;864,2;265,0767017;15,6;4,380181403;-13,44;5,377189898;15930,6;4784,481176
148;X48111.7003318984;48111,70033;5,016;3,065920417;895,4;286,5380944;16,58;5,061743052;-12,08;6,67192274;16294,6;5046,071641
149;X48366.91361563;48366,91362;1,306;3,244491747;747,4;279,8256407;19,62;4,638063665;-15,26;6,3696761;11080,2;4456,502745
150;X48622.1268993617;48622,1269;1,22;3,341634466;831,4;276,7252824;16,98;4,905508309;-10,98;6,698262907;14222,8;4690,242576
151;X48877.3401830933;48877,34018;6,312;2,69851007;1195;262,6385999;16,98;4,355316531;-2,02;5,12657065;19256,6;4242,316609
152;X49132.5534668249;49132,55347;7,89;2,441846274;941;220,0860337;18,4;4,302951354;-0,1;4,992771405;14555;3473,705356
153;X49387.7667505565;49387,76675;2,25;4,312109477;663,2;295,8460224;19,04;4,776740853;-20,12;7,812885448;9353,6;4934,974039
154;X49642.9800342882;49642,98003;-4,874;4,73275138;813,8;311,7391955;13,62;4,778192849;-16,84;7,16505994;11017,8;4688,617608
155;X49898.1933180198;49898,19332;0,124;4,488924419;733,2;306,9470737;18,32;4,988642102;-16,62;7,51119343;9871,4;4679,706035
156;X49949.2359747661;49949,23597;0,422;4,220583733;453,4;262,6115898;19,9;4,556913124;-24,48;6,679523974;5751;4144,812495
157;X50000.2786315124;50000,27863;-2,556;3,972870413;656,4;290,6014703;16,14;4,673195814;-18,98;7,112242109;11007,2;5176,950243
158;X50510.7051989757;50510,7052;0,416;3,357141209;496,8;273,1238958;17,88;4,575347709;-26,06;6,173220943;6952,4;4273,162475
159;X50714.875825961;50714,87583;-6,41;3,078548249;350;263,790115;14,74;4,904726218;-29,82;6,355784048;7867,2;4199,622274
160;X51021.1317664389;51021,13177;3,028;4,282680814;391,6;290,5443172;16,24;5,05177659;-28,5;7,766400091;8288,4;4372,544146
161;X51225.3023934242;51225,30239;0,958;4,661226132;637;275,8132503;17,92;4,603966296;-16,98;7,572489913;9312,2;4400,698201
162;X51378.4303636632;51378,43036;3,3;3,691388808;602,6;270,4265029;18,56;4,629095067;-20,28;7,604243971;8839,4;4410,615928
