"","Longitude","Latitude","V3"
"537",-4.618889,43.117222,"Barboni_a428"
"538",-4.568889,43.218889,"Barboni_a429"
"539",-5.85,39.168889,"Barboni_a430"
"540",-5.368889,39.367222,"Barboni_a431"
"541",-5.318889,39.368889,"Barboni_a432"
"542",-5.318889,39.468889,"Barboni_a433"
"543",-5.318889,39.468889,"Barboni_a434"
"544",-5.35,39.517222,"Barboni_a435"
"545",-5.367222,39.518889,"Barboni_a436"
"546",-5.417222,39.6,"Barboni_a437"
"547",-6.468889,40.567222,"Barboni_a438"
"548",-6.418889,40.55,"Barboni_a439"
"549",-6.318889,40.517222,"Barboni_a440"
"550",-6.2,40.517222,"Barboni_a441"
"551",-6.167222,40.517222,"Barboni_a442"
"552",-6.118889,40.517222,"Barboni_a443"
"553",-6.117222,40.467222,"Barboni_a444"
"554",-6.118889,40.5,"Barboni_a445"
"555",-6.15,40.418889,"Barboni_a446"
"556",-6.018888889,40.45,"Barboni_a447"
"557",-6.367222,40.1,"Barboni_a448"
"558",-6.4,40.118889,"Barboni_a449"
"559",-6.5,40.118889,"Barboni_a450"
"560",-6.5,40.268889,"Barboni_a451"
"561",-6.45,40.318889,"Barboni_a452"
"562",-6.45,40.35,"Barboni_a453"
"563",-6.467222,40.367222,"Barboni_a454"
"564",-6.45,40.368889,"Barboni_a455"
"565",-6.468889,40.467222,"Barboni_a456"
"566",-6.5,40.5,"Barboni_a457"
"567",-6.2,40.368889,"Barboni_a458"
"568",-6.5,40.4,"Barboni_a459"
"569",-6.7,40.367222,"Barboni_a460"
"570",-7,40.367222,"Barboni_a461"
"571",-7.2,40.318889,"Barboni_a462"
"572",-7,40.3,"Barboni_a463"
"573",-6.8,40.3,"Barboni_a464"
"574",-7.7,40.25,"Barboni_a465"
"575",-7.8,40.2,"Barboni_a466"
"576",-7.2,40.05,"Barboni_a467"
"577",-2.768889,41.7,"Barboni_a468"
"578",-2.668889,41.717222,"Barboni_a469"
"579",-2.067222,41.818889,"Barboni_a470"
"580",-2.117222,41.8,"Barboni_a471"
"581",-1.968889,41.85,"Barboni_a472"
"582",-1.85,41.818889,"Barboni_a473"
"583",-1.818889,41.817222,"Barboni_a474"
"584",-1.817222,41.8,"Barboni_a475"
"585",-1.817222,41.768889,"Barboni_a476"
"586",-1.818889,41.8,"Barboni_a477"
"587",-1.817222,41.817222,"Barboni_a478"
"588",-1.8,41.817222,"Barboni_a479"
"589",-1.768889,41.85,"Barboni_a480"
