-: limite inf‚rieure
+: limite sup‚rieure
Temp en 1/10 degres
Prec en mm
anomalies
    TJAN-TJAN TJAN+TJUL-TJUL TJUL+TANN-TANN TANN+PJAN-PJAN PJAN+PJUL-PJUL PJUL+PANN-PANN PANN+
1523  -58  -17   19  -42  -25   -9  -49  -23   -8  -38   -6   51  -20    7   27 -439 -191  239
1525  -67  -34  -10  -28  -20    1  -52  -29  -14  -40  -25    2   -7    8   18 -427 -306 -105
1528 -137  -50  -24  -53  -13    8  -84  -35   -9  -48  -40  -38  -25   -8   -1 -585 -494 -449
1530  -62  -24  -17  -25  -11    0  -35  -19  -10  -40  -27    8   -6   21   42 -461 -332    9
1533  -80  -12   36  -41  -32   -1  -58  -23   -2  -46  -15   13   -2    4    8 -517 -315 -139
1535  -92  -63  -34  -46  -25  -10  -68  -39  -14  -45  -27   27  -23   -5   17 -486 -344   -1
1538  -49  -33  -23  -24  -16  -12  -41  -28  -24  -46  -40  -35  -22   -6   11 -537 -464 -359
1540 -199 -112  -45  -43  -30  -15 -116  -66  -27  -60  -40  -19  -12   -4    3 -581 -417 -164
1543  -69  -61  -42  -42  -21   -8  -61  -46  -27  -40  -36  -21  -10   -3   28 -500 -407 -239
1545 -108  -90  -59  -55  -33  -24  -84  -68  -46  -53  -43  -22   -5    1   25 -564 -461 -218
1548  -87  -63  -42  -85  -45  -21  -71  -59  -39  -42  -12   44  -24   -8    7 -467 -220  212
1550 -115  -89  -59  -52  -37  -27  -88  -69  -54  -40  -15    8  -66  -36   -3 -551 -359 -239
1553  -82  -57  -42  -86  -46  -18  -71  -57  -36  -31   -1   51  -44  -27   -4 -445 -196  238
1555 -126  -76  -51  -71  -37   -7  -60  -43   -8  -54  -24   23  -46  -25  -15 -596 -391  -31
1558 -163  -76  -18  -81  -41  -16  -97  -54  -15  -28    2   28  -68  -55  -26 -481 -309  -37
1560 -199 -111  -56  -89  -48  -29 -105  -72  -58  -23    5   33  -67  -59  -35 -485 -302  -28
1563 -120 -104  -82  -51  -38  -27  -92  -77  -63  -56  -51  -25   -5   -2    1 -609 -545 -410
1565 -115 -106  -79  -45  -38  -24  -87  -78  -56  -58  -54  -49   -6   -3   -1 -616 -569 -524
1568  -69  -62  -50  -25  -21  -11  -50  -44  -36  -42  -37  -31   -9   -1   17 -510 -394 -311
1570  -77  -43  -27  -71  -37   -6  -74  -25   -3  -40  -10   20   -3   12   50 -365 -109  232
1575  -40  -30  -20  -25  -16  -14  -38  -28  -25  -46  -41  -37  -26   -9    7 -560 -488 -426
1580  -74  -50  -31  -47  -21  -13  -49  -29  -14  -43  -36  -24   -7    9   42 -478 -339  -41
1585  -96  -74  -56  -48  -28  -20  -74  -53  -35  -45  -34   18  -12    1   24 -511 -378 -131
1590  -78  -59  -40  -66  -46  -28  -64  -39   -4  -37  -10   13   -1   12   52 -347  -89  204
1595  -46  -32  -24  -12   -3   12  -22  -12   -2  -45  -41  -38   -8   -6   -2 -487 -455 -416
1598  -58  -41  -27  -57  -19    5  -55  -29   -8  -41  -14   14   -3   20   52 -359 -101  312
1599  -64  -47  -32  -68  -32  -11  -62  -39  -24  -25   -8   21    0   19   44 -289  -70  323
