Age;Abies;Alnus;Betula;Carpinus;Corylus;Fagus;Fraxinus;Juniperus;Picea;Pinus;Quercus;Salix;Tilia;Ulmus;Artemisia;Amaranthaceae;Poaceae
104398;199;203;20;240;33;0;4;0;97;29;151;0;0;8;4;0;12
104867;102;263;36;342;26;0;10;0;92;13;95;10;0;3;3;0;6
105336;68;240;38;367;44;0;14;0;55;17;123;0;0;11;3;0;21
105806;162;132;39;399;56;0;6;0;75;10;99;0;3;3;3;0;13
106277;164;144;23;456;45;3;17;0;34;14;82;0;0;12;0;0;8
106748;133;157;3;381;161;0;21;0;32;3;73;0;0;14;0;0;21
107220;130;155;6;426;166;0;16;0;35;13;38;0;0;6;0;0;9
107693;202;112;7;392;155;0;9;0;51;13;39;0;0;13;0;0;7
108166;179;110;8;410;134;0;26;0;34;5;76;3;0;3;3;0;8
108640;151;125;5;355;195;0;16;0;33;3;98;3;0;8;0;0;8
109115;108;68;5;464;237;0;17;0;9;12;71;0;0;2;0;0;7
109590;164;139;11;347;239;3;8;0;22;14;42;0;0;5;0;0;5
110066;67;93;7;507;189;0;26;2;7;13;76;0;2;5;0;0;4
110542;17;89;2;491;244;0;4;0;8;9;121;0;0;11;0;0;2
111019;22;89;9;467;224;0;19;0;24;9;119;0;0;14;0;0;3
111497;37;102;6;503;173;0;17;2;19;10;119;0;0;8;0;0;4
111976;10;119;6;423;308;0;13;0;6;6;99;0;0;6;0;0;3
112455;0;106;0;513;239;0;15;0;23;0;95;4;0;4;0;0;0
113896;2;84;2;320;353;0;29;0;5;2;187;0;2;5;0;0;8
114377;4;61;0;164;524;0;23;0;4;4;196;0;0;14;0;0;4
114859;0;55;7;42;545;0;14;0;3;0;321;0;0;3;7;0;3
115342;0;61;9;37;569;0;24;0;31;9;230;0;0;13;3;0;13
115826;2;44;7;0;517;2;27;0;12;7;342;2;2;17;2;0;12
116310;2;62;0;5;564;0;19;11;6;11;298;0;0;16;0;0;5
116794;4;43;0;0;618;0;26;6;10;17;257;0;0;13;4;0;4
117280;0;55;25;3;524;0;59;0;19;3;303;0;0;8;0;0;0
117766;0;70;6;0;491;0;68;0;8;8;317;0;0;19;0;0;13
118252;0;70;3;0;557;0;49;0;13;13;285;0;0;6;0;0;6
118739;0;47;6;0;591;0;27;3;17;20;259;0;0;6;0;0;23
119227;0;18;18;0;747;0;21;0;15;6;153;4;0;0;4;0;15
119716;0;22;6;0;650;0;18;4;6;18;238;2;2;25;0;0;9
120205;0;14;3;0;693;0;12;0;5;7;243;0;3;17;1;0;1
120694;2;4;6;0;569;0;28;2;8;12;328;0;0;28;0;0;12
121185;0;0;15;0;621;0;22;4;0;11;289;0;4;29;0;0;4
121676;0;0;13;0;649;0;47;5;0;20;222;0;0;27;4;0;11
122167;0;12;12;0;649;0;20;4;6;16;251;2;0;16;0;0;12
