;CLDE;TAIG;PION;CLMX;COCO;TEDE;COMX;WAMX;XERO;TUND;COST;WAST;CODE;HODE;;CLDE;TAIG;PION;CLMX;COCO;TEDE;COMX;WAMX;XERO;TUND;COST;WAST;CODE;HODE
33155,26365;4,148981916;8,212533089;9,075558742;9,075558742;9,075558742;9,075558742;9,075558742;4,926576826;4,926576826;9,491794205;30,15207288;17,57456183;1,148695815;1,148695815;;3%;6%;7%;7%;7%;7%;7%;4%;4%;7%;24%;14%;1%;1%
33389,91543;3,441822622;6,50307149;5,904432118;6,50307149;6,50307149;6,50307149;6,50307149;3,659888241;3,061248869;9,787886929;10,05942019;13,71930843;2,30033731;2,30033731;;4%;7%;7%;7%;7%;7%;7%;4%;4%;11%;12%;16%;3%;3%
33613,12863;3,026669567;7,500238669;8,184027136;8,77959481;8,77959481;8,77959481;8,77959481;6,348492918;5,752925244;8,528417541;27,00804593;17,49542603;0,595567674;0,595567674;;3%;6%;7%;7%;7%;7%;7%;5%;5%;7%;22%;15%;0%;0%
33721,66307;3,564844814;6,700659435;7,780782885;7,780782885;7,780782885;7,780782885;7,780782885;4,923044851;4,21593807;9,438514877;34,43804655;12,27492204;1,115355072;1,115355072;;3%;6%;7%;7%;7%;7%;7%;4%;4%;8%;30%;11%;1%;1%
33923,71665;4,023731572;6,023731572;5,81662479;6,523731572;6,523731572;6,523731572;6,523731572;3,207106781;2,5;11,05935521;12,2918983;15,2918983;1,207106781;1,207106781;;5%;7%;7%;7%;7%;7%;7%;4%;3%;12%;14%;17%;1%;1%
34048,88032;2,784318082;6,123552342;6,123552342;6,123552342;6,123552342;6,123552342;6,123552342;3,339234259;3,339234259;8,97584063;10,05522324;14,59518543;0,977911386;0,977911386;;3%;7%;7%;7%;7%;7%;7%;4%;4%;11%;12%;18%;1%;1%
34215,56193;3,75718057;7,714099225;7,027671729;7,714099225;7,714099225;7,714099225;7,714099225;5,254380066;3,956918655;9,436185034;31,44919547;10,61712422;1,116568355;1,116568355;;3%;7%;6%;7%;7%;7%;7%;5%;4%;8%;28%;9%;1%;1%
34338,98006;3,616066066;7,571956398;7,571956398;7,571956398;7,571956398;7,571956398;7,571956398;4,303910465;3,955890333;9,576338268;30,24391863;17,39133856;1,209551342;1,209551342;;3%;6%;6%;6%;6%;6%;6%;4%;3%;8%;26%;15%;1%;1%
34583,36314;4,576342475;7,208560442;8,27760541;7,475821684;7,475821684;7,475821684;7,475821684;2,899479209;2,899479209;11,30049935;33,58380563;10,83146733;1,903730056;1,903730056;;4%;6%;7%;6%;6%;6%;6%;3%;3%;10%;29%;9%;2%;2%
34827,11979;2,406169282;5,280692999;6,783565864;6,303625915;6,303625915;6,303625915;6,303625915;4,146164635;3,897456634;9,026584443;13,75971293;17,95145453;1,271640919;1,271640919;;3%;6%;7%;7%;7%;7%;7%;5%;4%;10%;15%;20%;1%;1%
