Longitude;Latitude;SampleName
24.3333;41.983;Barboni_a15
2.733333;45.5;Barboni_a150
2.733333;45.5;Barboni_a151
2.733333;45.5;Barboni_a152
2.733333;45.5;Barboni_a153
2.733333;45.5;Barboni_a154
2.73;45.5;Barboni_a155
2.73;45.5;Barboni_a156
2.73;45.5;Barboni_a157
2.73;45.5;Barboni_a158
2.73;45.5;Barboni_a159
24.3333;41.983;Barboni_a16
2.73;45.5;Barboni_a160
2.83;45.5;Barboni_a161
2.83;45.5;Barboni_a162
2.83;45.5;Barboni_a163
2.83;45.5;Barboni_a164
2.83;45.5;Barboni_a165
2.61;45.45;Barboni_a166
2.61;45.43;Barboni_a167
2.58;45.4;Barboni_a168
2.6;45.38;Barboni_a169
24.3167;41.967;Barboni_a17
2.58;45.36;Barboni_a170
2.68;45.38;Barboni_a171
2.66;45.38;Barboni_a172
2.66;45.4;Barboni_a173
2.66;45.38;Barboni_a174
2.66;45.38;Barboni_a175
2.7;45.4;Barboni_a176
2.7;45.4;Barboni_a177
2.7;45.41;Barboni_a178
2.7;45.41;Barboni_a179
23.6;41.5;Barboni_a18
2.7;45.41;Barboni_a180
2.66;45.51;Barboni_a181
2.65;45.53;Barboni_a182
2.73;45.45;Barboni_a183
2.76;45.46;Barboni_a184
2.789;45.47;Barboni_a185
2.733333;45.5;Barboni_a186
2.73;45.5;Barboni_a187
2.76;45.48;Barboni_a188
2.789;45.47;Barboni_a189
23.61;41.53;Barboni_a19
2.85;45.43;Barboni_a190
2.76;45.43;Barboni_a191
2.78;45.4;Barboni_a192
2.78;45.4;Barboni_a193
2.83;45.45;Barboni_a194
2.8667;45;Barboni_a195
2.83;45.5;Barboni_a196
2.83;45.5;Barboni_a197
27.11;44.08;Barboni_a2
23.61;41.51;Barboni_a20
23.61;41.51;Barboni_a21
-3.7;40.93;Barboni_a22
-3.8;40.96;Barboni_a23
23.61;41.51;Barboni_a24
-3.8;40.98;Barboni_a25
-3.8;40.98;Barboni_a26
-3.8;40.98;Barboni_a27
-3.83;40.98;Barboni_a28
-3.81;41.1;Barboni_a29
27.11;44.08;Barboni_a3
-3.8;41.11;Barboni_a30
23.61;41.51;Barboni_a31
23.1;41.35;Barboni_a32
23.11;41.35;Barboni_a33
23.1;41.33;Barboni_a34
-6.85625;37.155;Barboni_a349
15.62;40.32;Barboni_a35
29.597222;37.125;Barboni_a350
-6.830556;42.877778;Barboni_a351
-6.830556;42.877778;Barboni_a352
-7;42.7;Barboni_a353
8.8;52.1;Barboni_a354
5.4;49.9;Barboni_a355
5.4;49.9;Barboni_a356
5.4;49.9;Barboni_a357
5.4;49.9;Barboni_a358
5.9;50.3;Barboni_a359
15.63;40.32;Barboni_a36
5.9;50.3;Barboni_a360
5.9;50.4;Barboni_a361
13.8;55.4;Barboni_a362
14.5;56.1;Barboni_a363
